Nombre,Partido,Votos,Es R
Hector Brands,2,9335,
Crispiano Adames,2,9945,
Emelie Garcia Espino,2,5016,
Rey Montero,2,4646,
Corina Cano,2,4557,R
Ramón Ashby, 3, 2418,
Doctor Torick Arce,3,2198,
Ileana Tejera Lee,3,1845,
Ingrid Persky,3,2036,
Corina Cano,4,497,
Shayna Balladares,4,246,
Gysel García,4,256,
Camilo Salcedo,4,243,
Yamy Blandón,8,2203,
Benito Lucero,8,1307,
Roberto Santamaría,8,1272,
Julio Pon,8,1357,
Carlos González,8,2354,
Jair Martínez,32,1578,
Manuel Núñez,32,919,
Vonetta Giselle,32,917,
Patrick Fahy Espinoza,32,922,
Yamy Blandón,32,939,R
Martha Saldaña,51,190,
Keira Navarro,51,174,
Chello Gálvez,56,9287,
Keira Navarro,56,6398,
Eduardo Pinnock,56,6562,
Edmund Cubilla,56,6233,
Teo Ábrego,56,6257,
Toto Álvarez,52,417,
Rubén Eduardo Rodríguez,52,288,
Rogelio Moreno Hassán,52,308,
El Chino Fujimori,52,294,
Linda Loo,53,9530,
José Pérez Barboni,53,9980,
Elías López,53,9086,
Alexander Coparropa,53,8952,
Otto Gamboa,53,8952,
Walkiria Chandler,57,24806,
Paulette Thomas,57,24174,
Rubén de la Rosa,57,23354,
Ana Matilde Gómez,58,6785,
Jose Luis Fussá Moreno,58,948, 
