Nombre,Partido,Votos,Es R
Javier Sucre,2,10441,
Doctor Víctor Castillo,2,9393,
Charlie Sousa-Lennox,2,9095,
Guapo López,2,6271,
Josi El Bukele,2,6316,R
Omar Elías Castillo López,3,3160,
Dr Herick Bernal,3,2603,
Alex Charles,3,2362,
Ariel Lim Yueng,3,2495,
Josi El Bukele,4,2305,
Carmen Nadine Barrios,4,1285,
Albertito Guerra,8,2760,
Fulo Linares,8,2629,
Stephanie Cardoze,8,1841,
Lucas,8,1953,
Chris Herrera,8,1619,
Sebastian Abadía,8,2212,
Bebito C,8,1593,
Ramiro López,8,1683,
Miguel Gallardo Ferrer,8,1840,
Albertito Guerra,8,1339,R
Otoniel García,51,406,
Helmut de Puy,51,296,R
Alejandro Perez,56,8282,
Helmut de Puy,56,7808,
Dra Nitzia Torres,56,7961,
Gilberto Romero,56,7337,
César Zapata Muñoz,56,7532,
Raúl Ricardo Rodríguez,52,407,
Elizabeth Acosta,52,469,
Ricardo Alvarado,52,470,
Iván Montalvo,52,362,
Lital Smith,52,350,
Grace Hernández,53,12697,
Mark Harrick Atie,53,11921,
Doctor Ernesto Cedeño,53,14577,
Gabriel Menasche,53,11684,
Javier Eduardo Baldeolivar,53,11541,
Yadelis González,57,3815,
Roberto Zúñiga,58,40788,
Jorge Bloise Iglesias,58,40205,
Juan Carlos Rojas Barrios,58,38653,
Cristal A Balabarca Cedeño,58,39640,
Eulogio Castillo Marín,58,38176,
Raúl Fernández,59,4230,
Delbys Holmes de Richa,59,3127,
Daniel Lombana,59,3194,

